date,message,crashes
8/5/13,156 Traffic Deaths this Year - Don't Add to this number,821
8/12/13,Driving Long?  Take a Break,848
8/19/13,Back to School Stay Alert,828
8/26/13,62 Were Unbuckled,926
9/2/13,Drive Sober or Get Pulled Over,786
9/9/13,Buckle Up It's a Good Idea,946
9/16/13,Children are Safest in Backseat,983
9/23/13,Avoid Driver's Blind Spot,895
9/30/13,Share the Road with Motorcycles,939
10/7/13,Late?  Don't Risk it Slow Down,912
10/14/13,Use Caution Around School Buses,952
10/21/13,Start Them Young Teach Safe Driving,1074
10/28/13,Includes 1 Bicyclist 11 Pedestrians,1091
11/4/13,Don't Veer for Deer,1212
11/11/13,Winter Weather?  Turn Off Cruise Control,1298
11/18/13,Be a Survivor Buckle Up,1269
11/25/13,Report Drunk Driving Call 911,949
12/2/13,Eyes on Road Hands on Wheel,1472
12/9/13,Ice & Snow Take it Slow,1493
12/16/13,Don't be a Projectile   Buckle Up,1446
12/23/13,Santa's Coming   Have You Been a Good Driver,891
12/30/13,Drive Sober or Get Pulled Over,1387
1/6/14,Control Your Fate the Text Can Wait,990
1/13/14,Vehicle on Shoulder?  Move Over,1164
1/20/14,Your Mom Called are You Buckled,1235
1/27/14,Arrive Alive Don't Drink & Drive,1041
2/3/14,Be on the Winning Team   Drive Safe,1604
2/10/14,5 Min Late Won't Kill You   Speeding Can,1500
2/17/14,Slick Roads and Cruise Control Don't Mix,1187
2/24/14,Be Alert Your Life Depends on it,1277
3/3/14,Not Buckled?  Seriously??,941
3/10/14,Move Disabled Vehicles to Shoulder,735
3/17/14,Drink Green Beer See Red Lights in Rearview Mirror,643
3/24/14,Pass on Left     -     Drive on Right,852
3/31/14,Warmer Weather   Watch for Work Zones,739
4/7/14,One Text or Call Could Wreck it All,842
4/14/14,Drive Drunk Meet a Cop,834
4/21/14,Snooze You Lose   Don't Drive Drowsy,784
4/28/14,Look for Motorcycles   Share the Road,792
5/5/14,See Tracks Think Train,828
5/12/14,Click it or Ticket,862
5/19/14,It's Racing Season Leave Speed for the Track,855
5/26/14,Drive Hammered Get Nailed,928
6/2/14,Lots Riding on Your Tires   Check the Pressure,945
6/9/14,School's Out   Watch for Kids on Bikes,955
6/16/14,Move Over for Maintenance & Emergency Vehicles,944
6/23/14,Put Down Your Phone and Drive,885
6/30/14,Drink + Drive = Stupid   Don't be Stupid,940
7/7/14,Great Weekend?  Buckle Up for Another,889
7/14/14,Work Zones   We Don't Speed Thru Your Office,798
7/21/14,"""No Zone""  Avoid Trucker's Blind Spots",832
7/28/14,Distracted Driving is More Than Texting,859
8/4/14,Buckle Up and Just Drive,808
8/11/14,Drive Sober or Get Pulled Over,845
8/18/14,School's Open Don't Pass a Stopped School Bus,873
8/25/14,Stay Alive Don't Text and Drive,908
9/1/14,Drinking Today?  Choose a Designated Driver,860
9/8/14,Tailgating is for Football Not Highways,924
9/15/14,Love Your Child?  Buckle Them Up,956
9/22/14,Does Your Blinker Not Work or What?,1002
9/29/14,Get Your Head Out of Your Apps  Drive Safely,926
10/6/14,Not Buckled?  What's Holding Your Back?,975
10/13/14,Drive Like Your Life Depends on it,1042
10/20/14,Teens Drive Like Their Parents,1130
10/27/14,Don't Become a Ghost   Drive Safely,1148
11/3/14,Dawn and Dusk   Deer are Near,1256
11/10/14,Not Buckled?  You're Killing Me Smalls,1759
11/17/14,Snow Plows Need Room to Groom,1176
11/24/14,Dear Seat Belt Thank You for Saving Lives,1379
12/1/14,Booze  Cruise  Lose,937
12/8/14,That's 24 More Than Last Year,971
12/15/14,Texting and Driving is Like Oil and Water,1105
12/22/14,Ho Ho Ho Buckle Up and Go,878
12/29/14,Start 2015 Right Don't Drink & Drive Day or Night,1000
1/5/15,Pass on Left     -     Drive on Right,700
1/12/15,Don't Crowd the Plow   20 Hit Last Week,700
1/19/15,It's Not a Race  Leave Some Space,700
1/26/15,In the Blink of an Eye You Could Die,700
2/2/15,Don't Drive Angry,700
2/9/15,Hey Bobblehead Stop Looking at Your Phone,700
2/16/15,Drive to Save Lives,700
2/23/15,Pass on Left     -     Drive on Right,700
